obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('24',)",3773073028,14,3.533370018,3779218472,3779218544,3773073028,0,internal_timestamp,64.60800171,1564084228,33.75379944,0,8.282099724,1026.551715,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('25',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.60800171,1564084229,33.75360107,0,8.28219986,1026.551545,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('26',)",3773073029,14,3.533360004,3779218472,3779218544,3773073029,0,internal_timestamp,64.60600281,1564084229,33.75350189,0,8.28219986,1026.551458,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('27',)",3773073029,14,3.533349991,3779218472,3779218544,3773073029,0,internal_timestamp,64.60900116,1564084229,33.7533989,0,8.282299995,1026.551376,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('28',)",3773073029,14,3.533339977,3779218472,3779218544,3773073029,0,internal_timestamp,64.61199951,1564084229,33.75320053,0,8.282299995,1026.551234,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('29',)",3773073029,14,3.533329964,3779218472,3779218544,3773073029,0,internal_timestamp,64.60800171,1564084229,33.75320053,0,8.282299995,1026.551215,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('30',)",3773073029,14,3.533329964,3779218472,3779218544,3773073029,0,internal_timestamp,64.61000061,1564084229,33.75320053,0,8.282299995,1026.551225,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('31',)",3773073029,14,3.533339977,3779218472,3779218544,3773073029,0,internal_timestamp,64.61000061,1564084229,33.7533989,0,8.28219986,1026.551395,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('32',)",3773073029,14,3.533349991,3779218472,3779218544,3773073029,0,internal_timestamp,64.60700226,1564084229,33.75350189,0,8.28219986,1026.551462,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('33',)",3773073029,14,3.533360004,3779218472,3779218544,3773073029,0,internal_timestamp,64.60800171,1564084229,33.75360107,0,8.28219986,1026.551545,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('34',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.60500336,1564084229,33.75360107,0,8.282299995,1026.551516,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('35',)",3773073029,14,3.533380032,3779218472,3779218544,3773073029,0,internal_timestamp,64.60800171,1564084229,33.75360107,0,8.282299995,1026.551529,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('36',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.60900116,1564084229,33.75350189,0,8.282299995,1026.551456,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('37',)",3773073029,14,3.533380032,3779218472,3779218544,3773073029,0,internal_timestamp,64.60600281,1564084229,33.75360107,0,8.282400131,1026.551505,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('38',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.61000061,1564084229,33.75350189,0,8.282400131,1026.551446,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('39',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.61100006,1564084229,33.75350189,0,8.282400131,1026.55145,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('40',)",3773073029,14,3.533380032,3779218472,3779218544,3773073029,0,internal_timestamp,64.61199951,1564084229,33.75350189,0,8.282500267,1026.55144,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('41',)",3773073029,14,3.533370018,3779218472,3779218544,3773073029,0,internal_timestamp,64.61299896,1564084229,33.7533989,0,8.282500267,1026.551363,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
